match_id,date,venue,team1,team2,stage,toss_winner,toss_decision,first_ings_score,first_ings_wkts,second_ings_score,second_ings_wkts,match_winner,won_by,won_margin,player_of_the_match,top_scorer,highscore,best_bowling,best_bowling_figure,,players_name,total_score,Avr,SR,4s,6s,Bowler_Name,WKTS,Economy,,Stadium_name,,Ave inning score,Ave PP score,Ave death over score
54,05-09-2023,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,Group,Mumbai Indians,Field,200,4,199,6,Mumbai Indians,Wickets,6,Suryakumar Yadav,Suryakumar Yadav,83,Wanindu Hasaranga,5--18,,Atharva Taide,186,26.57,144.18,20,6,Mukesh Kumar,7,10.51,,,,,,
55,05-10-2023,MA Chidambaram Stadium,Chennai Super Kings,Delhi Capitals,Group,Chennai Super Kings,Bat,167,8,140,8,Chennai Super Kings,Runs,27,Ravindra Jadeja,Rilee Rossouw,35,Moeen Ali,3--13,,Abdul Samad,169,42.25,132.03,10,11,Riley Meredith,7,10.52,,,,,,
56,05-11-2023,Eden Gardens,Kolkata Knight Riders,Rajasthan Royals,Group,Rajasthan Royals,Field,149,8,151,1,Rajasthan Royals,Wickets,9,Yashasvi Jaiswal,Yashasvi Jaiswal,98,Jasprit Bumrah,5--10,,Manish Pandey,160,17.77,109.58,15,3,Andre Russell,7,11.34,,,,,,
57,05-12-2023,Wankhede Stadium,Mumbai Indians,Gujarat Titans,Group,Gujarat Titans,Field,218,5,191,8,Mumbai Indians,Runs,27,Suryakumar Yadav,Suryakumar Yadav,103,Rashid Khan,4--24,,Ambati Rayudu,158,15.8,139.82,10,9,Michael Bracewell,6,8.63,,,,,,
58,5/13/2023,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Lucknow Super Giants,Group,Sunrisers Hyderabad,Bat,182,6,185,3,Lucknow Super Giants,Wickets,7,Prerak Mankad,Prerak Mankad,64,Chetan Sakariya,2--23,,Shahrukh Khan,156,22.28,165.95,13,9,Cameron Green,6,9.5,,,,,,
59,5/13/2023,Arun Jaitley Stadium,Delhi Capitals,Punjab Kings,Group,Delhi Capitals,Field,136,8,167,7,Punjab Kings,Runs,31,Prabhsimran Singh,Prabhsimran Singh,103,Daniel Sams,3--16,,Dhruv Jurel,152,21.71,172.72,11,9,Harshit Rana,5,8.64,,,,,,
60,5/14/2023,Sawai Mansingh Stadium,Rajasthan Royals,Royal Challengers Bangalore,Group,Royal Challengers Bangalore,Bat,59,10,171,5,Royal Challengers Bangalore,Runs,112,Wayne Parnell,Faf du Plessis,55,Harshal Patel,4--34,,Quinton de Kock,143,35.75,140.19,10,8,Kumar Kartikeya,5,8.73,,,,,,
61,5/14/2023,MA Chidambaram Stadium,Chennai Super Kings,Kolkata Knight Riders,Group,Chennai Super Kings,Bat,144,6,147,4,Kolkata Knight Riders,Wickets,6,Rinku Singh,Nitish Rana,57,Andre Russell,3--22,,Dinesh Karthik,140,11.66,134.61,13,5,Vaibhav Arora,5,9.12,,,,,,
62,5/15/2023,Narendra Modi Stadium,Gujarat Titans,Sunrisers Hyderabad,Group,Sunrisers Hyderabad,Field,188,9,154,9,Gujarat Titans,Runs,34,Shubman Gill,Shubman Gill,101,Mohammed Shami,2--19,,Sikandar Raza,139,27.8,141.83,10,6,Marcus Stoinis,5,9.23,,,,,,
63,5/16/2023,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow Super Giants,Mumbai Indians,Group,Mumbai Indians,Field,177,3,172,5,Lucknow Super Giants,Runs,5,Marcus Stoinis,Marcus Stoinis,89,Trent Boult,2--18,,Mahipal Lomror,135,16.87,139.17,9,8,Akash Singh,5,9.89,,,,,,
64,5/17/2023,Himachal Pradesh Cricket Association Stadium,Punjab Kings,Delhi Capitals,Group,Punjab Kings,Field,198,8,213,2,Delhi Capitals,Runs,15,Rilee Rossouw,Liam Livingstone,94,Shardul Takur,4--36,,Rashid Khan,130,32.5,216.66,8,13,Umran Malik,5,10.85,,,,,,
65,5/18/2023,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Royal Challengers Bangalore,Group,Royal Challengers Bangalore,Field,186,5,187,2,Royal Challengers Bangalore,Wickets,8,Virat Kohli,Heinrich Klaasen,104,Ramandeep Singh,3--20,,Mitchell Marsh,128,14.22,131.95,11,7,Arshad Khan,5,13.41,,,,,,
66,5/19/2023,Himachal Pradesh Cricket Association Stadium,Punjab Kings,Rajasthan Royals,Group,Rajasthan Royals,Field,187,5,189,6,Rajasthan Royals,Wickets,4,Devdutt Padikkal,Devdutt Padikkal,51,Mohsin Khan,3--20,,Moeen Ali,124,17.71,136.26,12,6,Fazalhaq Farooqi,4,8.77,,,,,,
67,5/20/2023,Arun Jaitley Stadium,Delhi Capitals,Chennai Super Kings,Group,Chennai Super Kings,Bat,146,9,223,3,Chennai Super Kings,Runs,77,Ruturaj Gaikwad,Devon Conway,87,Rashid Khan,2--32,,Matthew Short,117,19.5,127.17,15,4,Jason Holder,4,9.96,,,,,,
68,5/20/2023,Eden Gardens,Kolkata Knight Riders,Lucknow Super Giants,Group,Kolkata Knight Riders,Field,175,7,176,8,Lucknow Super Giants,Runs,1,Nicholas Pooran,Nicholas Pooran,58,Prashant Solanki,2--20,,Abhinav Manohar,114,19,137.34,6,7,Mitchell Santner,3,6.75,,,,,,
69,5/21/2023,Wankhede Stadium,Mumbai Indians,Sunrisers Hyderabad,Group,Mumbai Indians,Field,201,2,200,5,Mumbai Indians,Wickets,8,Cameron Green,Virat Kohli,101,Jasprit Bumrah,3--25,,Shardul Thakur,113,14.12,161.42,13,4,Krishnappa Gowtham,3,7.37,,,,,,
70,5/21/2023,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Gujarat Titans,Group,Gujarat Titans,Field,197,5,198,4,Gujarat Titans,Wickets,6,Shubman Gill,Shubman Gill,104,Mohammed Siraj,2--32,,Aman Khan,110,13.75,108.91,7,6,Anukul Roy,3,8.12,,,,,,
71,5/23/2023,M.Chinnaswamy Stadium,Chennai Super Kings,Gujarat Titans,Playoff,Gujarat Titans,Field,172,7,157,10,Chennai Super Kings,Runs,15,Ruturaj Gaikwad,Ruturaj Gaikwad,60,Ravindra Jadeja,2--18,,Prithvi Shaw,106,13.25,124.7,16,1,Josh Hazlewood,3,8.44,,,,,,
72,5/24/2023,M.Chinnaswamy Stadium,Mumbai Indians,Lucknow Super Giants,Playoff,Mumbai Indians,Bat,182,8,101,10,Mumbai Indians,Runs,81,Akash Madhwal,Cameron Green,41,Akash Madhwal,5--5,,Anmolpreet Singh,105,26.25,128.04,15,2,Nitish Rana,3,8.49,,,,,,
73,5/23/2025,Narendra Modi Stadium,Gujarat Titans,Mumbai Indians,Playoff,Mumbai Indians,Field,233,3,171,10,Gujarat Titans,Runs,62,Shubman Gill,Shubman Gill,129,Mohit Sharma,5--10,,MS Dhoni,104,26,182.45,3,10,Yudhvir Singh,3,8.75,,,,,,
74,5/23/2026,Narendra Modi Stadium,Gujarat Titans,Chennai Super Kings,Final,Chennai Super Kings,Field,170,4,171,5,Chennai Super Kings,Wickets,5,Devon Conway,Sai Sudharsan,96,Hardik Pandya,3--36,,Prerak Mankad,93,31,129.16,12,2,Glenn Maxwell,3,9.09,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
